معرف_الخطاب,التاريخ,الجهة,العنوان,نص_الخطاب,تصنيف_السريّة
KSA-LTR-251016-0018,2025-10-16,صندوق الاستثمارات العامة,مذكرة تفاهم أولية غير ملزمة,يهدف هذا الخطاب إلى مشاركة معلومات عامة قابلة للنشر لدعم الشفافية ومشاركة المعرفة. يمكن للمشاركين الحصول على شهادة حضور إلكترونية. يمكن مشاركة المحتوى كاملاً بعد التأكد من دقة المعلومات المنشورة. سيجري جمع تعقيبات الحضور عبر استبيان مفتوح بعد الحدث. يأتي هذا ضمن مبادرات موجهة للمجتمع ويجوز الاقتباس من محتواه. سيجري جمع تعقيبات الحضور عبر استبيان مفتوح بعد الحدث. يرجى إعادة نشر التفاصيل عبر القنوات الإعلامية المعتمدة لضمان الوصول إلى الجمهور. القائمة المبدئية للمتحدثين ستُعلن عبر البيان الصحفي. يهدف هذا الخطاب إلى مشاركة معلومات عامة قابلة للنشر لدعم الشفافية ومشاركة المعرفة. سيتم نشر نسخة من العرض التقديمي على موقع الجهة بعد انتهاء الفعالية. يمكن مشاركة المحتوى كاملاً بعد التأكد من دقة المعلومات المنشورة. سيتم نشر نسخة من العرض التقديمي على موقع الجهة بعد انتهاء الفعالية. يُراعى التقيد بإرشادات الهوية البصرية الرسمية عند النشر. سيجري جمع تعقيبات الحضور عبر استبيان مفتوح بعد الحدث.,غير_سري
KSA-LTR-250927-0019,2025-09-27,شركة أرامكو السعودية,تنسيق لقاء تعارفي مع الشركاء,[للنشر العام] نرفق جدولًا زمنيًا أوليًا قابلًا للتعديل وسيتم تحديثه دوريًا. يحق للمدعوين مشاركة المواد باستثناء المحتوى المملوك لطرف ثالث. هذا الخطاب متاح للعامة وفق سياسات التواصل المعتمدة. يحق للمدعوين مشاركة المواد باستثناء المحتوى المملوك لطرف ثالث. يهدف هذا الخطاب إلى مشاركة معلومات عامة قابلة للنشر لدعم الشفافية ومشاركة المعرفة. يحق للمدعوين مشاركة المواد باستثناء المحتوى المملوك لطرف ثالث. نرحب بحضور جميع الجهات المعنية، وسيتم إتاحة التسجيل عبر البوابة الرسمية. سيجري جمع تعقيبات الحضور عبر استبيان مفتوح بعد الحدث. يهدف هذا الخطاب إلى مشاركة معلومات عامة قابلة للنشر لدعم الشفافية ومشاركة المعرفة. سيتم نشر نسخة من العرض التقديمي على موقع الجهة بعد انتهاء الفعالية. لا يحتوي هذا الخطاب على أي بيانات شخصية أو معلومات تشغيلية حساسة.,غير_سري
KSA-LTR-251026-0020,2025-10-26,شركة سابك,استراتيجية حماية البنية التحتية الوطنية,يحمل هذا الخطاب تصنيفًا سريًا ولا يجوز تداوله خارج النطاق المحدد. تتعلق التفاصيل بترقيع ثغرات حرجة تم تحديدها عبر مركز العمليات الأمنية. يُحظر النسخ أو التصوير ويقتصر الاطلاع على الأشخاص المخولين فقط. يشمل المستند خطوطًا زمنية تقديرية لتبديل مفاتيح تشفير قديمة وإدارة الشهادات. يجب تسجيل كل عملية وصول إلى هذا الملف وإثبات هوية المستخدم. يشمل المستند خطوطًا زمنية تقديرية لتبديل مفاتيح تشفير قديمة وإدارة الشهادات. يُحظر النسخ أو التصوير ويقتصر الاطلاع على الأشخاص المخولين فقط. تتعلق التفاصيل بترقيع ثغرات حرجة تم تحديدها عبر مركز العمليات الأمنية. يُمنع الإدلاء بأي تصريحات حول محتوى هذا الخطاب قبل الحصول على موافقة خطية. يرد ذكر توزيع الأدوار بين الفرق المعنية للتعامل مع حالات الطوارئ. يجب تشفير أي مرفقات وإرسالها عبر قنوات آمنة وفق سياسات الأمن المعتمدة. يرد ضمن الملحق توصيف عالي المستوى لأصول ذات طابع حرج والبروتوكولات المقترحة. يجب تشفير أي مرفقات وإرسالها عبر قنوات آمنة وفق سياسات الأمن المعتمدة.,سري
KSA-LTR-251014-0021,2025-10-14,شركة stc,نتائج تدقيق داخلي سري للغاية,[سري] يحمل هذا الخطاب تصنيفًا سريًا ولا يجوز تداوله خارج النطاق المحدد. تتضمن الخطة عتبات تنبيه ومؤشرات اختراق يُحظر تعميمها. يُمنع الإدلاء بأي تصريحات حول محتوى هذا الخطاب قبل الحصول على موافقة خطية. تضمن التقييم سيناريوهات محاكاة لهجمات حجب الخدمة وخطط الاستمرارية. يُمنع الإدلاء بأي تصريحات حول محتوى هذا الخطاب قبل الحصول على موافقة خطية. يرد ضمن الملحق توصيف عالي المستوى لأصول ذات طابع حرج والبروتوكولات المقترحة. يحمل هذا الخطاب تصنيفًا سريًا ولا يجوز تداوله خارج النطاق المحدد. تتعلق التفاصيل بترقيع ثغرات حرجة تم تحديدها عبر مركز العمليات الأمنية. المعلومات الواردة قد تؤثر على سلامة العمليات أو الأسواق في حال نشرها للعموم. يشمل المستند خطوطًا زمنية تقديرية لتبديل مفاتيح تشفير قديمة وإدارة الشهادات.,سري
KSA-LTR-251007-0022,2025-10-07,الخطوط السعودية,استراتيجية حماية البنية التحتية الوطنية,المعلومات الواردة قد تؤثر على سلامة العمليات أو الأسواق في حال نشرها للعموم. تتعلق التفاصيل بترقيع ثغرات حرجة تم تحديدها عبر مركز العمليات الأمنية. هذا الخطاب خاضع لسياسات السرية: سري/سري للغاية/سري محدود. يوجد تأكيد على تطبيق مبدأ أقل صلاحية وتتبع الامتثال عبر سجلات مركزية. يحتوي الخطاب على تحليلات حساسة وسيناريوهات استجابة لاستخدام داخلي. تضمن التقييم سيناريوهات محاكاة لهجمات حجب الخدمة وخطط الاستمرارية. المعلومات الواردة قد تؤثر على سلامة العمليات أو الأسواق في حال نشرها للعموم. تتطرق المذكرة إلى عرض مالي أولي لأحد العقود قبل الطرح العام. يُمنع الإدلاء بأي تصريحات حول محتوى هذا الخطاب قبل الحصول على موافقة خطية. يتناول الخطاب آلية توريد بديلة لمكونات حساسة في سلسلة الإمداد. تتضمن الملاحق أرقامًا تقديرية وتقييمات مخاطر قيد المراجعة وغير قابلة للنشر.,سري
KSA-LTR-251008-0023,2025-10-08,الهيئة العامة للطيران المدني,إجراءات سرية للحد من مخاطر سلاسل التوريد,يحمل هذا الخطاب تصنيفًا سريًا ولا يجوز تداوله خارج النطاق المحدد. تتطرق المذكرة إلى عرض مالي أولي لأحد العقود قبل الطرح العام. المعلومات الواردة قد تؤثر على سلامة العمليات أو الأسواق في حال نشرها للعموم. تتعلق التفاصيل بترقيع ثغرات حرجة تم تحديدها عبر مركز العمليات الأمنية. يحتوي الخطاب على تحليلات حساسة وسيناريوهات استجابة لاستخدام داخلي. يشمل المستند خطوطًا زمنية تقديرية لتبديل مفاتيح تشفير قديمة وإدارة الشهادات. تتضمن الملاحق أرقامًا تقديرية وتقييمات مخاطر قيد المراجعة وغير قابلة للنشر. يتناول الخطاب آلية توريد بديلة لمكونات حساسة في سلسلة الإمداد. هذا الخطاب خاضع لسياسات السرية: سري/سري للغاية/سري محدود. تتطرق المذكرة إلى عرض مالي أولي لأحد العقود قبل الطرح العام. يجب تسجيل كل عملية وصول إلى هذا الملف وإثبات هوية المستخدم. يشمل المستند خطوطًا زمنية تقديرية لتبديل مفاتيح تشفير قديمة وإدارة الشهادات.,سري
KSA-LTR-251108-0024,2025-11-08,هيئة الموانئ السعودية,تهنئة بإنجاز ضمن برنامج الرؤية,نرحب بحضور جميع الجهات المعنية، وسيتم إتاحة التسجيل عبر البوابة الرسمية. لا يتضمن هذا الخطاب أي التزامات مالية أو تعهدات رسمية. يرجى إعادة نشر التفاصيل عبر القنوات الإعلامية المعتمدة لضمان الوصول إلى الجمهور. سيجري جمع تعقيبات الحضور عبر استبيان مفتوح بعد الحدث. نرفق جدولًا زمنيًا أوليًا قابلًا للتعديل وسيتم تحديثه دوريًا. يمكن للمشاركين الحصول على شهادة حضور إلكترونية. يأتي هذا ضمن مبادرات موجهة للمجتمع ويجوز الاقتباس من محتواه. يتوافر خط مساند للرد على الاستفسارات العامة. يمكن مشاركة المحتوى كاملاً بعد التأكد من دقة المعلومات المنشورة. يحق للمدعوين مشاركة المواد باستثناء المحتوى المملوك لطرف ثالث. نرفق جدولًا زمنيًا أوليًا قابلًا للتعديل وسيتم تحديثه دوريًا. سيتاح البث المباشر عبر المنصات الرسمية لضمان وصول واسع. يأتي هذا ضمن مبادرات موجهة للمجتمع ويجوز الاقتباس من محتواه.,غير_سري
KSA-LTR-250921-0025,2025-09-21,هيئة الغذاء والدواء,استراتيجية حماية البنية التحتية الوطنية,[غير للتداول] يُحظر النسخ أو التصوير ويقتصر الاطلاع على الأشخاص المخولين فقط. يشمل المستند خطوطًا زمنية تقديرية لتبديل مفاتيح تشفير قديمة وإدارة الشهادات. يُحظر النسخ أو التصوير ويقتصر الاطلاع على الأشخاص المخولين فقط. ترد في الوثيقة تعليمات تفصيلية لإجراءات الاستجابة ضمن نافذة زمنية حرجة. يتضمن المستند تفاصيل عملياتية وإجراءات داخلية وبيانات غير منشورة. تتضمن الخطة عتبات تنبيه ومؤشرات اختراق يُحظر تعميمها. يتضمن المستند تفاصيل عملياتية وإجراءات داخلية وبيانات غير منشورة. يشمل المستند خطوطًا زمنية تقديرية لتبديل مفاتيح تشفير قديمة وإدارة الشهادات. يُمنع الإدلاء بأي تصريحات حول محتوى هذا الخطاب قبل الحصول على موافقة خطية. تتعلق التفاصيل بترقيع ثغرات حرجة تم تحديدها عبر مركز العمليات الأمنية. يحتوي الخطاب على تحليلات حساسة وسيناريوهات استجابة لاستخدام داخلي. تتطرق المذكرة إلى عرض مالي أولي لأحد العقود قبل الطرح العام.,سري
KSA-LTR-250912-0026,2025-09-12,هيئة المحتوى المحلي والمشتريات الحكومية,نشرة توعوية مفتوحة للجمهور,يمكن مشاركة المحتوى كاملاً بعد التأكد من دقة المعلومات المنشورة. يتوافر خط مساند للرد على الاستفسارات العامة. نرحب بحضور جميع الجهات المعنية، وسيتم إتاحة التسجيل عبر البوابة الرسمية. يتوافر خط مساند للرد على الاستفسارات العامة. نرحب بحضور جميع الجهات المعنية، وسيتم إتاحة التسجيل عبر البوابة الرسمية. سيجري جمع تعقيبات الحضور عبر استبيان مفتوح بعد الحدث. يأتي هذا ضمن مبادرات موجهة للمجتمع ويجوز الاقتباس من محتواه. يهدف إلى رفع الوعي وتسهيل التواصل مع المجتمع. هذا الخطاب متاح للعامة وفق سياسات التواصل المعتمدة. لا يتضمن هذا الخطاب أي التزامات مالية أو تعهدات رسمية. يهدف هذا الخطاب إلى مشاركة معلومات عامة قابلة للنشر لدعم الشفافية ومشاركة المعرفة. سيتم نشر نسخة من العرض التقديمي على موقع الجهة بعد انتهاء الفعالية.,غير_سري
KSA-LTR-250913-0027,2025-09-13,الهيئة الملكية لمدينة الرياض,ملخص نتائج استطلاع رأي عام,سيتضمن اللقاء كلمات من مختصين وعرضًا عامًا للنتائج دون أي مواد سرية. يحق للمدعوين مشاركة المواد باستثناء المحتوى المملوك لطرف ثالث. لا يحتوي هذا الخطاب على أي بيانات شخصية أو معلومات تشغيلية حساسة. القائمة المبدئية للمتحدثين ستُعلن عبر البيان الصحفي. يهدف هذا الخطاب إلى مشاركة معلومات عامة قابلة للنشر لدعم الشفافية ومشاركة المعرفة. القائمة المبدئية للمتحدثين ستُعلن عبر البيان الصحفي. يرجى إعادة نشر التفاصيل عبر القنوات الإعلامية المعتمدة لضمان الوصول إلى الجمهور. لا يتضمن هذا الخطاب أي التزامات مالية أو تعهدات رسمية. يهدف هذا الخطاب إلى مشاركة معلومات عامة قابلة للنشر لدعم الشفافية ومشاركة المعرفة. القائمة المبدئية للمتحدثين ستُعلن عبر البيان الصحفي. لا يحتوي هذا الخطاب على أي بيانات شخصية أو معلومات تشغيلية حساسة. سيتم نشر نسخة من العرض التقديمي على موقع الجهة بعد انتهاء الفعالية. لا يحتوي هذا الخطاب على أي بيانات شخصية أو معلومات تشغيلية حساسة.,غير_سري
KSA-LTR-251024-0028,2025-10-24,مشروع نيوم,نتائج تدقيق داخلي سري للغاية,[للاستخدام الداخلي فقط] يحتوي الخطاب على تحليلات حساسة وسيناريوهات استجابة لاستخدام داخلي. يشمل المستند خطوطًا زمنية تقديرية لتبديل مفاتيح تشفير قديمة وإدارة الشهادات. يحمل هذا الخطاب تصنيفًا سريًا ولا يجوز تداوله خارج النطاق المحدد. يشمل المستند خطوطًا زمنية تقديرية لتبديل مفاتيح تشفير قديمة وإدارة الشهادات. هذا الخطاب خاضع لسياسات السرية: سري/سري للغاية/سري محدود. تضمن التقييم سيناريوهات محاكاة لهجمات حجب الخدمة وخطط الاستمرارية. يحتوي الخطاب على تحليلات حساسة وسيناريوهات استجابة لاستخدام داخلي. ترد في الوثيقة تعليمات تفصيلية لإجراءات الاستجابة ضمن نافذة زمنية حرجة. يحمل هذا الخطاب تصنيفًا سريًا ولا يجوز تداوله خارج النطاق المحدد. يوجد تأكيد على تطبيق مبدأ أقل صلاحية وتتبع الامتثال عبر سجلات مركزية. يجب تشفير أي مرفقات وإرسالها عبر قنوات آمنة وفق سياسات الأمن المعتمدة. تتضمن الخطة عتبات تنبيه ومؤشرات اختراق يُحظر تعميمها. يحتوي الخطاب على تحليلات حساسة وسيناريوهات استجابة لاستخدام داخلي.,سري
KSA-LTR-250903-0029,2025-09-03,هيئة الحكومة الرقمية,إشعار صيانة دورية للخدمات,[للنشر العام] يأتي هذا ضمن مبادرات موجهة للمجتمع ويجوز الاقتباس من محتواه. لا يتضمن هذا الخطاب أي التزامات مالية أو تعهدات رسمية. نرفق جدولًا زمنيًا أوليًا قابلًا للتعديل وسيتم تحديثه دوريًا. لا يتضمن هذا الخطاب أي التزامات مالية أو تعهدات رسمية. هذا الخطاب متاح للعامة وفق سياسات التواصل المعتمدة. سيتاح البث المباشر عبر المنصات الرسمية لضمان وصول واسع. نرفق جدولًا زمنيًا أوليًا قابلًا للتعديل وسيتم تحديثه دوريًا. سيتم نشر نسخة من العرض التقديمي على موقع الجهة بعد انتهاء الفعالية. لا يحتوي هذا الخطاب على أي بيانات شخصية أو معلومات تشغيلية حساسة. يحق للمدعوين مشاركة المواد باستثناء المحتوى المملوك لطرف ثالث. يهدف هذا الخطاب إلى مشاركة معلومات عامة قابلة للنشر لدعم الشفافية ومشاركة المعرفة. يتوافر خط مساند للرد على الاستفسارات العامة.,غير_سري
KSA-LTR-250909-0030,2025-09-09,هيئة الاتصالات والفضاء والتقنية,ملخص نتائج استطلاع رأي عام,[للنشر العام] يرجى إعادة نشر التفاصيل عبر القنوات الإعلامية المعتمدة لضمان الوصول إلى الجمهور. القائمة المبدئية للمتحدثين ستُعلن عبر البيان الصحفي. يُراعى التقيد بإرشادات الهوية البصرية الرسمية عند النشر. القائمة المبدئية للمتحدثين ستُعلن عبر البيان الصحفي. يمكن مشاركة المحتوى كاملاً بعد التأكد من دقة المعلومات المنشورة. سيجري جمع تعقيبات الحضور عبر استبيان مفتوح بعد الحدث. نرحب بحضور جميع الجهات المعنية، وسيتم إتاحة التسجيل عبر البوابة الرسمية. لا يتضمن هذا الخطاب أي التزامات مالية أو تعهدات رسمية. نرحب بحضور جميع الجهات المعنية، وسيتم إتاحة التسجيل عبر البوابة الرسمية. يمكن للمشاركين الحصول على شهادة حضور إلكترونية. يهدف هذا الخطاب إلى مشاركة معلومات عامة قابلة للنشر لدعم الشفافية ومشاركة المعرفة. يتوافر خط مساند للرد على الاستفسارات العامة. يأتي هذا ضمن مبادرات موجهة للمجتمع ويجوز الاقتباس من محتواه. سيتاح البث المباشر عبر المنصات الرسمية لضمان وصول واسع.,غير_سري
KSA-LTR-250905-0031,2025-09-05,وزارة الداخلية,إشعار صيانة دورية للخدمات,[للنشر العام] نرحب بحضور جميع الجهات المعنية، وسيتم إتاحة التسجيل عبر البوابة الرسمية. سيتاح البث المباشر عبر المنصات الرسمية لضمان وصول واسع. نرفق جدولًا زمنيًا أوليًا قابلًا للتعديل وسيتم تحديثه دوريًا. يمكن للمشاركين الحصول على شهادة حضور إلكترونية. يُراعى التقيد بإرشادات الهوية البصرية الرسمية عند النشر. القائمة المبدئية للمتحدثين ستُعلن عبر البيان الصحفي. سيتضمن اللقاء كلمات من مختصين وعرضًا عامًا للنتائج دون أي مواد سرية. يحق للمدعوين مشاركة المواد باستثناء المحتوى المملوك لطرف ثالث. نرفق جدولًا زمنيًا أوليًا قابلًا للتعديل وسيتم تحديثه دوريًا. القائمة المبدئية للمتحدثين ستُعلن عبر البيان الصحفي. نرحب بحضور جميع الجهات المعنية، وسيتم إتاحة التسجيل عبر البوابة الرسمية. سيتم نشر نسخة من العرض التقديمي على موقع الجهة بعد انتهاء الفعالية. يهدف هذا الخطاب إلى مشاركة معلومات عامة قابلة للنشر لدعم الشفافية ومشاركة المعرفة. لا يتضمن هذا الخطاب أي التزامات مالية أو تعهدات رسمية.,غير_سري
KSA-LTR-250918-0032,2025-09-18,وزارة الدفاع,نشرة توعوية مفتوحة للجمهور,سيتضمن اللقاء كلمات من مختصين وعرضًا عامًا للنتائج دون أي مواد سرية. يتوافر خط مساند للرد على الاستفسارات العامة. نرفق جدولًا زمنيًا أوليًا قابلًا للتعديل وسيتم تحديثه دوريًا. يهدف إلى رفع الوعي وتسهيل التواصل مع المجتمع. يأتي هذا ضمن مبادرات موجهة للمجتمع ويجوز الاقتباس من محتواه. القائمة المبدئية للمتحدثين ستُعلن عبر البيان الصحفي. لا يحتوي هذا الخطاب على أي بيانات شخصية أو معلومات تشغيلية حساسة. يتوافر خط مساند للرد على الاستفسارات العامة. يمكن مشاركة المحتوى كاملاً بعد التأكد من دقة المعلومات المنشورة. يتوافر خط مساند للرد على الاستفسارات العامة. نرحب بحضور جميع الجهات المعنية، وسيتم إتاحة التسجيل عبر البوابة الرسمية. سيتاح البث المباشر عبر المنصات الرسمية لضمان وصول واسع.,غير_سري
KSA-LTR-250919-0033,2025-09-19,وزارة الطاقة,توجيه استخباراتي عملياتي سري,هذا الخطاب خاضع لسياسات السرية: سري/سري للغاية/سري محدود. يشمل المستند خطوطًا زمنية تقديرية لتبديل مفاتيح تشفير قديمة وإدارة الشهادات. يجب تسجيل كل عملية وصول إلى هذا الملف وإثبات هوية المستخدم. يرد ضمن الملحق توصيف عالي المستوى لأصول ذات طابع حرج والبروتوكولات المقترحة. المعلومات الواردة قد تؤثر على سلامة العمليات أو الأسواق في حال نشرها للعموم. يرد ذكر توزيع الأدوار بين الفرق المعنية للتعامل مع حالات الطوارئ. يحمل هذا الخطاب تصنيفًا سريًا ولا يجوز تداوله خارج النطاق المحدد. تتطرق المذكرة إلى عرض مالي أولي لأحد العقود قبل الطرح العام. يحتوي الخطاب على تحليلات حساسة وسيناريوهات استجابة لاستخدام داخلي. يرد ذكر توزيع الأدوار بين الفرق المعنية للتعامل مع حالات الطوارئ. يُمنع الإدلاء بأي تصريحات حول محتوى هذا الخطاب قبل الحصول على موافقة خطية. تتضمن الخطة عتبات تنبيه ومؤشرات اختراق يُحظر تعميمها. المعلومات الواردة قد تؤثر على سلامة العمليات أو الأسواق في حال نشرها للعموم. ترد في الوثيقة تعليمات تفصيلية لإجراءات الاستجابة ضمن نافذة زمنية حرجة.,سري
