معرف_الخطاب,التاريخ,الجهة,العنوان,نص_الخطاب,تصنيف_السريّة
KSA-LTR-251014-0034,2025-10-14,وزارة التعليم,تهنئة بإنجاز ضمن برنامج الرؤية,[للنشر العام] يهدف هذا الخطاب إلى مشاركة معلومات عامة قابلة للنشر لدعم الشفافية ومشاركة المعرفة. سيجري جمع تعقيبات الحضور عبر استبيان مفتوح بعد الحدث. يهدف هذا الخطاب إلى مشاركة معلومات عامة قابلة للنشر لدعم الشفافية ومشاركة المعرفة. سيتم التقاط صور عامة للفعالية بما يتوافق مع السياسات. نرحب بحضور جميع الجهات المعنية، وسيتم إتاحة التسجيل عبر البوابة الرسمية. يمكن للمشاركين الحصول على شهادة حضور إلكترونية. سيتضمن اللقاء كلمات من مختصين وعرضًا عامًا للنتائج دون أي مواد سرية. القائمة المبدئية للمتحدثين ستُعلن عبر البيان الصحفي. لا يحتوي هذا الخطاب على أي بيانات شخصية أو معلومات تشغيلية حساسة. سيتم نشر نسخة من العرض التقديمي على موقع الجهة بعد انتهاء الفعالية. يُراعى التقيد بإرشادات الهوية البصرية الرسمية عند النشر.,غير_سري
KSA-LTR-251020-0035,2025-10-20,وزارة الصحة,نتائج تدقيق داخلي سري للغاية,[سري للغاية] يتضمن المستند تفاصيل عملياتية وإجراءات داخلية وبيانات غير منشورة. يرد ذكر توزيع الأدوار بين الفرق المعنية للتعامل مع حالات الطوارئ. المعلومات الواردة قد تؤثر على سلامة العمليات أو الأسواق في حال نشرها للعموم. يرد ضمن الملحق توصيف عالي المستوى لأصول ذات طابع حرج والبروتوكولات المقترحة. المعلومات الواردة قد تؤثر على سلامة العمليات أو الأسواق في حال نشرها للعموم. يرد ذكر توزيع الأدوار بين الفرق المعنية للتعامل مع حالات الطوارئ. يُمنع الإدلاء بأي تصريحات حول محتوى هذا الخطاب قبل الحصول على موافقة خطية. تتطرق المذكرة إلى عرض مالي أولي لأحد العقود قبل الطرح العام. هذا الخطاب خاضع لسياسات السرية: سري/سري للغاية/سري محدود. تضمن التقييم سيناريوهات محاكاة لهجمات حجب الخدمة وخطط الاستمرارية. يحتوي الخطاب على تحليلات حساسة وسيناريوهات استجابة لاستخدام داخلي. تتطرق المذكرة إلى عرض مالي أولي لأحد العقود قبل الطرح العام. يجب تسجيل كل عملية وصول إلى هذا الملف وإثبات هوية المستخدم. يتناول الخطاب آلية توريد بديلة لمكونات حساسة في سلسلة الإمداد.,سري
KSA-LTR-251106-0036,2025-11-06,وزارة المالية,نتائج تدقيق داخلي سري للغاية,يحمل هذا الخطاب تصنيفًا سريًا ولا يجوز تداوله خارج النطاق المحدد. يتناول الخطاب آلية توريد بديلة لمكونات حساسة في سلسلة الإمداد. يُحظر النسخ أو التصوير ويقتصر الاطلاع على الأشخاص المخولين فقط. يتناول الخطاب آلية توريد بديلة لمكونات حساسة في سلسلة الإمداد. تتضمن الملاحق أرقامًا تقديرية وتقييمات مخاطر قيد المراجعة وغير قابلة للنشر. يتناول الخطاب آلية توريد بديلة لمكونات حساسة في سلسلة الإمداد. المعلومات الواردة قد تؤثر على سلامة العمليات أو الأسواق في حال نشرها للعموم. يرد ضمن الملحق توصيف عالي المستوى لأصول ذات طابع حرج والبروتوكولات المقترحة. المعلومات الواردة قد تؤثر على سلامة العمليات أو الأسواق في حال نشرها للعموم. يتناول الخطاب آلية توريد بديلة لمكونات حساسة في سلسلة الإمداد. يجب تسجيل كل عملية وصول إلى هذا الملف وإثبات هوية المستخدم. يوجد تأكيد على تطبيق مبدأ أقل صلاحية وتتبع الامتثال عبر سجلات مركزية.,سري
KSA-LTR-251031-0037,2025-10-31,وزارة النقل والخدمات اللوجستية,إشعار صيانة دورية للخدمات,سيتضمن اللقاء كلمات من مختصين وعرضًا عامًا للنتائج دون أي مواد سرية. يتوافر خط مساند للرد على الاستفسارات العامة. هذا الخطاب متاح للعامة وفق سياسات التواصل المعتمدة. لا يتضمن هذا الخطاب أي التزامات مالية أو تعهدات رسمية. نرحب بحضور جميع الجهات المعنية، وسيتم إتاحة التسجيل عبر البوابة الرسمية. القائمة المبدئية للمتحدثين ستُعلن عبر البيان الصحفي. هذا الخطاب متاح للعامة وفق سياسات التواصل المعتمدة. القائمة المبدئية للمتحدثين ستُعلن عبر البيان الصحفي. سيتضمن اللقاء كلمات من مختصين وعرضًا عامًا للنتائج دون أي مواد سرية. سيتاح البث المباشر عبر المنصات الرسمية لضمان وصول واسع. نرفق جدولًا زمنيًا أوليًا قابلًا للتعديل وسيتم تحديثه دوريًا. القائمة المبدئية للمتحدثين ستُعلن عبر البيان الصحفي.,غير_سري
KSA-LTR-251012-0038,2025-10-12,وزارة الشؤون البلدية والقروية والإسكان,خطة استجابة طوارئ داخلية غير للتداول,[سري] يحمل هذا الخطاب تصنيفًا سريًا ولا يجوز تداوله خارج النطاق المحدد. يشمل المستند خطوطًا زمنية تقديرية لتبديل مفاتيح تشفير قديمة وإدارة الشهادات. يحمل هذا الخطاب تصنيفًا سريًا ولا يجوز تداوله خارج النطاق المحدد. تتطرق المذكرة إلى عرض مالي أولي لأحد العقود قبل الطرح العام. يُمنع الإدلاء بأي تصريحات حول محتوى هذا الخطاب قبل الحصول على موافقة خطية. تتطرق المذكرة إلى عرض مالي أولي لأحد العقود قبل الطرح العام. يجب تشفير أي مرفقات وإرسالها عبر قنوات آمنة وفق سياسات الأمن المعتمدة. يوجد تأكيد على تطبيق مبدأ أقل صلاحية وتتبع الامتثال عبر سجلات مركزية. المعلومات الواردة قد تؤثر على سلامة العمليات أو الأسواق في حال نشرها للعموم. يرد ذكر توزيع الأدوار بين الفرق المعنية للتعامل مع حالات الطوارئ. هذا الخطاب خاضع لسياسات السرية: سري/سري للغاية/سري محدود. تتطرق المذكرة إلى عرض مالي أولي لأحد العقود قبل الطرح العام. يجب تشفير أي مرفقات وإرسالها عبر قنوات آمنة وفق سياسات الأمن المعتمدة.,سري
KSA-LTR-251028-0039,2025-10-28,وزارة الاستثمار,استراتيجية حماية البنية التحتية الوطنية,[سري للغاية] تتضمن الملاحق أرقامًا تقديرية وتقييمات مخاطر قيد المراجعة وغير قابلة للنشر. تتعلق التفاصيل بترقيع ثغرات حرجة تم تحديدها عبر مركز العمليات الأمنية. يُمنع الإدلاء بأي تصريحات حول محتوى هذا الخطاب قبل الحصول على موافقة خطية. يتناول الخطاب آلية توريد بديلة لمكونات حساسة في سلسلة الإمداد. يحتوي الخطاب على تحليلات حساسة وسيناريوهات استجابة لاستخدام داخلي. تتطرق المذكرة إلى عرض مالي أولي لأحد العقود قبل الطرح العام. المعلومات الواردة قد تؤثر على سلامة العمليات أو الأسواق في حال نشرها للعموم. تتضمن الخطة عتبات تنبيه ومؤشرات اختراق يُحظر تعميمها. يتضمن المستند تفاصيل عملياتية وإجراءات داخلية وبيانات غير منشورة. تتطرق المذكرة إلى عرض مالي أولي لأحد العقود قبل الطرح العام. يجب تشفير أي مرفقات وإرسالها عبر قنوات آمنة وفق سياسات الأمن المعتمدة. تتعلق التفاصيل بترقيع ثغرات حرجة تم تحديدها عبر مركز العمليات الأمنية. يتضمن المستند تفاصيل عملياتية وإجراءات داخلية وبيانات غير منشورة.,سري
KSA-LTR-251102-0040,2025-11-02,وزارة الثقافة,توجيه استخباراتي عملياتي سري,[غير للتداول] تتضمن الملاحق أرقامًا تقديرية وتقييمات مخاطر قيد المراجعة وغير قابلة للنشر. يرد ذكر توزيع الأدوار بين الفرق المعنية للتعامل مع حالات الطوارئ. يتضمن المستند تفاصيل عملياتية وإجراءات داخلية وبيانات غير منشورة. يرد ضمن الملحق توصيف عالي المستوى لأصول ذات طابع حرج والبروتوكولات المقترحة. يُحظر النسخ أو التصوير ويقتصر الاطلاع على الأشخاص المخولين فقط. تتطرق المذكرة إلى عرض مالي أولي لأحد العقود قبل الطرح العام. يجب تشفير أي مرفقات وإرسالها عبر قنوات آمنة وفق سياسات الأمن المعتمدة. تتطرق المذكرة إلى عرض مالي أولي لأحد العقود قبل الطرح العام. تتضمن الملاحق أرقامًا تقديرية وتقييمات مخاطر قيد المراجعة وغير قابلة للنشر. يرد ذكر توزيع الأدوار بين الفرق المعنية للتعامل مع حالات الطوارئ. يتضمن المستند تفاصيل عملياتية وإجراءات داخلية وبيانات غير منشورة. تضمن التقييم سيناريوهات محاكاة لهجمات حجب الخدمة وخطط الاستمرارية. يتضمن المستند تفاصيل عملياتية وإجراءات داخلية وبيانات غير منشورة.,سري
KSA-LTR-250914-0041,2025-09-14,وزارة السياحة,استراتيجية حماية البنية التحتية الوطنية,[سري للغاية] يتضمن المستند تفاصيل عملياتية وإجراءات داخلية وبيانات غير منشورة. يشمل المستند خطوطًا زمنية تقديرية لتبديل مفاتيح تشفير قديمة وإدارة الشهادات. يُمنع الإدلاء بأي تصريحات حول محتوى هذا الخطاب قبل الحصول على موافقة خطية. يتناول الخطاب آلية توريد بديلة لمكونات حساسة في سلسلة الإمداد. يجب تشفير أي مرفقات وإرسالها عبر قنوات آمنة وفق سياسات الأمن المعتمدة. يشمل المستند خطوطًا زمنية تقديرية لتبديل مفاتيح تشفير قديمة وإدارة الشهادات. يتضمن المستند تفاصيل عملياتية وإجراءات داخلية وبيانات غير منشورة. تضمن التقييم سيناريوهات محاكاة لهجمات حجب الخدمة وخطط الاستمرارية. يجب تسجيل كل عملية وصول إلى هذا الملف وإثبات هوية المستخدم. تضمن التقييم سيناريوهات محاكاة لهجمات حجب الخدمة وخطط الاستمرارية. يجب تسجيل كل عملية وصول إلى هذا الملف وإثبات هوية المستخدم. تتعلق التفاصيل بترقيع ثغرات حرجة تم تحديدها عبر مركز العمليات الأمنية.,سري
KSA-LTR-251009-0042,2025-10-09,وزارة الاتصالات وتقنية المعلومات,توجيه استخباراتي عملياتي سري,[سري] تتضمن الملاحق أرقامًا تقديرية وتقييمات مخاطر قيد المراجعة وغير قابلة للنشر. تتطرق المذكرة إلى عرض مالي أولي لأحد العقود قبل الطرح العام. يُمنع الإدلاء بأي تصريحات حول محتوى هذا الخطاب قبل الحصول على موافقة خطية. تتطرق المذكرة إلى عرض مالي أولي لأحد العقود قبل الطرح العام. يتضمن المستند تفاصيل عملياتية وإجراءات داخلية وبيانات غير منشورة. تتطرق المذكرة إلى عرض مالي أولي لأحد العقود قبل الطرح العام. هذا الخطاب خاضع لسياسات السرية: سري/سري للغاية/سري محدود. يتناول الخطاب آلية توريد بديلة لمكونات حساسة في سلسلة الإمداد. يتضمن المستند تفاصيل عملياتية وإجراءات داخلية وبيانات غير منشورة. تتعلق التفاصيل بترقيع ثغرات حرجة تم تحديدها عبر مركز العمليات الأمنية. يجب تسجيل كل عملية وصول إلى هذا الملف وإثبات هوية المستخدم. تضمن التقييم سيناريوهات محاكاة لهجمات حجب الخدمة وخطط الاستمرارية. المعلومات الواردة قد تؤثر على سلامة العمليات أو الأسواق في حال نشرها للعموم.,سري
KSA-LTR-251007-0043,2025-10-07,الهيئة السعودية للبيانات والذكاء الاصطناعي (سدايا),إجراءات سرية للحد من مخاطر سلاسل التوريد,[غير للتداول] يُحظر النسخ أو التصوير ويقتصر الاطلاع على الأشخاص المخولين فقط. تتطرق المذكرة إلى عرض مالي أولي لأحد العقود قبل الطرح العام. هذا الخطاب خاضع لسياسات السرية: سري/سري للغاية/سري محدود. يرد ذكر توزيع الأدوار بين الفرق المعنية للتعامل مع حالات الطوارئ. يُمنع الإدلاء بأي تصريحات حول محتوى هذا الخطاب قبل الحصول على موافقة خطية. يرد ضمن الملحق توصيف عالي المستوى لأصول ذات طابع حرج والبروتوكولات المقترحة. المعلومات الواردة قد تؤثر على سلامة العمليات أو الأسواق في حال نشرها للعموم. تتعلق التفاصيل بترقيع ثغرات حرجة تم تحديدها عبر مركز العمليات الأمنية. هذا الخطاب خاضع لسياسات السرية: سري/سري للغاية/سري محدود. يرد ذكر توزيع الأدوار بين الفرق المعنية للتعامل مع حالات الطوارئ. يُحظر النسخ أو التصوير ويقتصر الاطلاع على الأشخاص المخولين فقط. يرد ضمن الملحق توصيف عالي المستوى لأصول ذات طابع حرج والبروتوكولات المقترحة.,سري
KSA-LTR-250929-0044,2025-09-29,الهيئة الوطنية للأمن السيبراني,تقرير حادثة أمنية يحتوي مؤشرات اختراق,يجب تشفير أي مرفقات وإرسالها عبر قنوات آمنة وفق سياسات الأمن المعتمدة. يرد ذكر توزيع الأدوار بين الفرق المعنية للتعامل مع حالات الطوارئ. يجب تسجيل كل عملية وصول إلى هذا الملف وإثبات هوية المستخدم. تتطرق المذكرة إلى عرض مالي أولي لأحد العقود قبل الطرح العام. يجب تسجيل كل عملية وصول إلى هذا الملف وإثبات هوية المستخدم. يرد ذكر توزيع الأدوار بين الفرق المعنية للتعامل مع حالات الطوارئ. يجب تسجيل كل عملية وصول إلى هذا الملف وإثبات هوية المستخدم. تتضمن الخطة عتبات تنبيه ومؤشرات اختراق يُحظر تعميمها. تتضمن الملاحق أرقامًا تقديرية وتقييمات مخاطر قيد المراجعة وغير قابلة للنشر. تتضمن الخطة عتبات تنبيه ومؤشرات اختراق يُحظر تعميمها. يتضمن المستند تفاصيل عملياتية وإجراءات داخلية وبيانات غير منشورة.,سري
KSA-LTR-251030-0045,2025-10-30,هيئة الزكاة والضريبة والجمارك,تفاصيل غير معلنة لعطاءات شراء حساسة,[سري] يُمنع الإدلاء بأي تصريحات حول محتوى هذا الخطاب قبل الحصول على موافقة خطية. تضمن التقييم سيناريوهات محاكاة لهجمات حجب الخدمة وخطط الاستمرارية. هذا الخطاب خاضع لسياسات السرية: سري/سري للغاية/سري محدود. ترد في الوثيقة تعليمات تفصيلية لإجراءات الاستجابة ضمن نافذة زمنية حرجة. هذا الخطاب خاضع لسياسات السرية: سري/سري للغاية/سري محدود. يوجد تأكيد على تطبيق مبدأ أقل صلاحية وتتبع الامتثال عبر سجلات مركزية. يُحظر النسخ أو التصوير ويقتصر الاطلاع على الأشخاص المخولين فقط. يرد ضمن الملحق توصيف عالي المستوى لأصول ذات طابع حرج والبروتوكولات المقترحة. يحمل هذا الخطاب تصنيفًا سريًا ولا يجوز تداوله خارج النطاق المحدد. يتناول الخطاب آلية توريد بديلة لمكونات حساسة في سلسلة الإمداد. تتضمن الملاحق أرقامًا تقديرية وتقييمات مخاطر قيد المراجعة وغير قابلة للنشر. يوجد تأكيد على تطبيق مبدأ أقل صلاحية وتتبع الامتثال عبر سجلات مركزية. يجب تسجيل كل عملية وصول إلى هذا الملف وإثبات هوية المستخدم. ترد في الوثيقة تعليمات تفصيلية لإجراءات الاستجابة ضمن نافذة زمنية حرجة.,سري
KSA-LTR-251008-0046,2025-10-08,الهيئة العامة للإحصاء,نتائج تدقيق داخلي سري للغاية,[للاستخدام الداخلي فقط] يجب تشفير أي مرفقات وإرسالها عبر قنوات آمنة وفق سياسات الأمن المعتمدة. تضمن التقييم سيناريوهات محاكاة لهجمات حجب الخدمة وخطط الاستمرارية. يتضمن المستند تفاصيل عملياتية وإجراءات داخلية وبيانات غير منشورة. ترد في الوثيقة تعليمات تفصيلية لإجراءات الاستجابة ضمن نافذة زمنية حرجة. تتضمن الملاحق أرقامًا تقديرية وتقييمات مخاطر قيد المراجعة وغير قابلة للنشر. يوجد تأكيد على تطبيق مبدأ أقل صلاحية وتتبع الامتثال عبر سجلات مركزية. يتضمن المستند تفاصيل عملياتية وإجراءات داخلية وبيانات غير منشورة. تتطرق المذكرة إلى عرض مالي أولي لأحد العقود قبل الطرح العام. يجب تسجيل كل عملية وصول إلى هذا الملف وإثبات هوية المستخدم. يتناول الخطاب آلية توريد بديلة لمكونات حساسة في سلسلة الإمداد. يُحظر النسخ أو التصوير ويقتصر الاطلاع على الأشخاص المخولين فقط. تتطرق المذكرة إلى عرض مالي أولي لأحد العقود قبل الطرح العام. هذا الخطاب خاضع لسياسات السرية: سري/سري للغاية/سري محدود. يتناول الخطاب آلية توريد بديلة لمكونات حساسة في سلسلة الإمداد.,سري
KSA-LTR-251024-0047,2025-10-24,البنك المركزي السعودي,نتائج تدقيق داخلي سري للغاية,يجب تسجيل كل عملية وصول إلى هذا الملف وإثبات هوية المستخدم. تتضمن الخطة عتبات تنبيه ومؤشرات اختراق يُحظر تعميمها. هذا الخطاب خاضع لسياسات السرية: سري/سري للغاية/سري محدود. يرد ضمن الملحق توصيف عالي المستوى لأصول ذات طابع حرج والبروتوكولات المقترحة. هذا الخطاب خاضع لسياسات السرية: سري/سري للغاية/سري محدود. يرد ضمن الملحق توصيف عالي المستوى لأصول ذات طابع حرج والبروتوكولات المقترحة. يحتوي الخطاب على تحليلات حساسة وسيناريوهات استجابة لاستخدام داخلي. يرد ضمن الملحق توصيف عالي المستوى لأصول ذات طابع حرج والبروتوكولات المقترحة. هذا الخطاب خاضع لسياسات السرية: سري/سري للغاية/سري محدود. ترد في الوثيقة تعليمات تفصيلية لإجراءات الاستجابة ضمن نافذة زمنية حرجة. يحمل هذا الخطاب تصنيفًا سريًا ولا يجوز تداوله خارج النطاق المحدد.,سري
KSA-LTR-251010-0048,2025-10-10,صندوق الاستثمارات العامة,استراتيجية حماية البنية التحتية الوطنية,[غير للتداول] يجب تسجيل كل عملية وصول إلى هذا الملف وإثبات هوية المستخدم. تتعلق التفاصيل بترقيع ثغرات حرجة تم تحديدها عبر مركز العمليات الأمنية. يُحظر النسخ أو التصوير ويقتصر الاطلاع على الأشخاص المخولين فقط. يتناول الخطاب آلية توريد بديلة لمكونات حساسة في سلسلة الإمداد. يُمنع الإدلاء بأي تصريحات حول محتوى هذا الخطاب قبل الحصول على موافقة خطية. ترد في الوثيقة تعليمات تفصيلية لإجراءات الاستجابة ضمن نافذة زمنية حرجة. يُحظر النسخ أو التصوير ويقتصر الاطلاع على الأشخاص المخولين فقط. تتطرق المذكرة إلى عرض مالي أولي لأحد العقود قبل الطرح العام. يحمل هذا الخطاب تصنيفًا سريًا ولا يجوز تداوله خارج النطاق المحدد. يشمل المستند خطوطًا زمنية تقديرية لتبديل مفاتيح تشفير قديمة وإدارة الشهادات. يجب تشفير أي مرفقات وإرسالها عبر قنوات آمنة وفق سياسات الأمن المعتمدة. تتعلق التفاصيل بترقيع ثغرات حرجة تم تحديدها عبر مركز العمليات الأمنية. يُمنع الإدلاء بأي تصريحات حول محتوى هذا الخطاب قبل الحصول على موافقة خطية. يرد ضمن الملحق توصيف عالي المستوى لأصول ذات طابع حرج والبروتوكولات المقترحة.,سري
KSA-LTR-251026-0049,2025-10-26,شركة أرامكو السعودية,نتائج تدقيق داخلي سري للغاية,[سري] المعلومات الواردة قد تؤثر على سلامة العمليات أو الأسواق في حال نشرها للعموم. يوجد تأكيد على تطبيق مبدأ أقل صلاحية وتتبع الامتثال عبر سجلات مركزية. يحمل هذا الخطاب تصنيفًا سريًا ولا يجوز تداوله خارج النطاق المحدد. ترد في الوثيقة تعليمات تفصيلية لإجراءات الاستجابة ضمن نافذة زمنية حرجة. يجب تشفير أي مرفقات وإرسالها عبر قنوات آمنة وفق سياسات الأمن المعتمدة. يشمل المستند خطوطًا زمنية تقديرية لتبديل مفاتيح تشفير قديمة وإدارة الشهادات. تتضمن الملاحق أرقامًا تقديرية وتقييمات مخاطر قيد المراجعة وغير قابلة للنشر. يتناول الخطاب آلية توريد بديلة لمكونات حساسة في سلسلة الإمداد. يجب تشفير أي مرفقات وإرسالها عبر قنوات آمنة وفق سياسات الأمن المعتمدة. تتضمن الخطة عتبات تنبيه ومؤشرات اختراق يُحظر تعميمها.,سري
KSA-LTR-251018-0050,2025-10-18,شركة سابك,تنسيق لقاء تعارفي مع الشركاء,[للنشر العام] يُراعى التقيد بإرشادات الهوية البصرية الرسمية عند النشر. يمكن للمشاركين الحصول على شهادة حضور إلكترونية. يأتي هذا ضمن مبادرات موجهة للمجتمع ويجوز الاقتباس من محتواه. القائمة المبدئية للمتحدثين ستُعلن عبر البيان الصحفي. نرفق جدولًا زمنيًا أوليًا قابلًا للتعديل وسيتم تحديثه دوريًا. سيتم التقاط صور عامة للفعالية بما يتوافق مع السياسات. لا يحتوي هذا الخطاب على أي بيانات شخصية أو معلومات تشغيلية حساسة. سيتم التقاط صور عامة للفعالية بما يتوافق مع السياسات. لا يحتوي هذا الخطاب على أي بيانات شخصية أو معلومات تشغيلية حساسة. لا يتضمن هذا الخطاب أي التزامات مالية أو تعهدات رسمية.,غير_سري
