نص_المنشور,ground_truth,ai_sentiment,ai_confidence,معرف_المنشور,التاريخ,اسم_المستخدم,الموقع,فرع
تطبيق التوصيل لخبط الطلب من مطعم الطيب، ومحد رد على الاتصالات 😡,negative,negative,0.9,XT25110231174,2025-11-02,صقر,الدوحة,أبوظبي-الكورنيش
الخدمة طبيعية والنظافة جيدة، المقبلات المشكلة يحتاج تحسين بسيط. 🔥,neutral,neutral,0.9,XT25101136365,2025-10-11,محمد,دبي,جدة-السلامة
مطعم الطيب يقدم خيارات متنوعة. الأسعار متوسطة. 👍,neutral,positive,0.9,XT25111041195,2025-11-10,لولوة,أبوظبي,دبي-الخور
زرت مطعم الطيب اليوم. الشاورما عادي والخدمة مقبولة. 😐,neutral,neutral,0.9,XT25102354473,2025-10-23,Bassam_A,تبوك,الرياض-الياسمين
للأسف التجربة سيئة اليوم في مطعم الطيب. تأخير كبير والطلب وصل بارد 😞,negative,negative,0.9,XT25110473092,2025-11-04,شادن,تبوك,أبوظبي-الكورنيش
للأسف التجربة سيئة اليوم في مطعم الطيب. تأخير كبير والطلب وصل بارد 😞,negative,negative,0.9,XT25100434356,2025-10-04,نورة,الرياض,الدمام-الشاطئ
الخدمة طبيعية والنظافة جيدة، المقبلات المشكلة يحتاج تحسين بسيط.,neutral,neutral,0.9,XT25103023104,2025-10-30,نورة,مكة,الدمام-الشاطئ
خدمة راقية وابتسامة من الموظفين في مطعم الطيب. الكباب كان ممتاز 👍,positive,positive,0.9,XT25110325129,2025-11-03,Bassam_A,دبي,دبي-الخور
أول زيارة لـ مطعم الطيب وكانت فوق التوقعات. السمك المشوي يستاهل التجربة 👌,positive,positive,0.9,XT25101719862,2025-10-17,مها,الرياض,الدمام-الشاطئ
أول زيارة لـ مطعم الطيب وكانت فوق التوقعات. الشاورما يستاهل التجربة 👌,positive,positive,0.9,XT25101242527,2025-10-12,لولوة,الدوحة,الرياض-الياسمين
النظافة تحتاج تحسين في مطعم الطيب، والطعم عادي جدًا. السمك المشوي خيب الظن.,negative,negative,0.9,XT25101813617,2025-10-18,Bassam_A,الخبر,جدة-الروضة
تطبيق التوصيل لخبط الطلب من مطعم الطيب، ومحد رد على الاتصالات 😡,negative,negative,0.9,XT25101349363,2025-10-13,هناء,أبها,جدة-الروضة
خدمة راقية وابتسامة من الموظفين في مطعم الطيب. المنسف كان ممتاز 👍,positive,positive,0.9,XT25103032241,2025-10-30,نورة,الخبر,جدة-الروضة
أجواء المطعم مزدحمة قليلًا. الفِتّوشيني كان جيد بشكل عام. 👎,neutral,negative,0.9,XT25100170889,2025-10-01,أبو_علي,أبوظبي,الدمام-الشاطئ
جلسات مزعجة وصوت عالي، والمنسف مالح أكثر من اللازم في مطعم الطيب.,negative,negative,0.9,XT25102942406,2025-10-29,لولوة,المدينة,أبوظبي-الكورنيش
تجربة رائعة في مطعم الطيب! الشاورما كان لذيذ جدًا والخدمة سريعة 🤩 ✨,positive,positive,0.9,XT25110486556,2025-11-04,سارة_الرياض,الدوحة,أبوظبي-الكورنيش
الخدمة طبيعية والنظافة جيدة، الفِتّوشيني يحتاج تحسين بسيط. 😞,neutral,neutral,0.9,XT25101066179,2025-10-10,مها,أبها,أبوظبي-الكورنيش
أجواء هادئة وأكل يفتح النفس في مطعم الطيب. أنصح بـ الفِتّوشيني 🌟,positive,positive,0.9,XT25103118993,2025-10-31,أبو_علي,أبها,أبوظبي-الكورنيش
ما أنصح بـ مطعم الطيب اليوم. المندي كان دون المستوى والخدمة بطيئة جدًا.,negative,negative,0.9,XT25100887607,2025-10-08,ياسر,أبوظبي,الرياض-الملز
الأسعار مناسبة مقابل الجودة في مطعم الطيب. خصوصًا الفتوش 😍 👎,positive,neutral,0.9,XT25110487656,2025-11-04,لولوة,أبها,جدة-الروضة
طلبت الكباب من مطعم الطيب. التوصيل في الوقت، والطعم مقبول. 💯,neutral,neutral,0.9,XT25101963271,2025-10-19,أنس,الخبر,الدمام-الشاطئ
طلبت الشاورما من مطعم الطيب. التوصيل في الوقت، والطعم مقبول.,neutral,neutral,0.9,XT25102556112,2025-10-25,حمد,أبها,جدة-الروضة
جلسات مزعجة وصوت عالي، والشاورما مالح أكثر من اللازم في مطعم الطيب. 💯,negative,negative,0.9,XT25110433519,2025-11-04,محمد,الدمام,الرياض-الملز
طلبت الكبسة من مطعم الطيب. التوصيل في الوقت، والطعم مقبول.,neutral,neutral,0.9,XT25103192502,2025-10-31,أبو_علي,المدينة,الرياض-الياسمين
أجواء المطعم مزدحمة قليلًا. الفِتّوشيني كان جيد بشكل عام.,neutral,neutral,0.9,XT25102137659,2025-10-21,لولوة,الخبر,دبي-الخور
طلبت الفتوش من مطعم الطيب. التوصيل في الوقت، والطعم مقبول. 🤷‍♀️,neutral,neutral,0.9,XT25102091927,2025-10-20,نادر,الدوحة,دبي-الخور
خدمة راقية وابتسامة من الموظفين في مطعم الطيب. الكباب كان ممتاز 👍,positive,positive,0.9,XT25110675597,2025-11-06,صقر,الرياض,جدة-السلامة
النظافة تحتاج تحسين في مطعم الطيب، والطعم عادي جدًا. الفتوش خيب الظن. 💯,negative,negative,0.9,XT25102953687,2025-10-29,أمينة,دبي,دبي-الخور
الخدمة طبيعية والنظافة جيدة، الكبسة يحتاج تحسين بسيط.,neutral,neutral,0.9,XT25103036680,2025-10-30,لولوة,أبها,الدمام-الشاطئ
تطبيق التوصيل لخبط الطلب من مطعم الطيب، ومحد رد على الاتصالات 😡 😐,negative,negative,0.9,XT25100648254,2025-10-06,هناء,الدوحة,دبي-الخور
تطبيق التوصيل لخبط الطلب من مطعم الطيب، ومحد رد على الاتصالات 😡,negative,negative,0.9,XT25110181228,2025-11-01,عبدالله,مكة,جدة-السلامة
تطبيق التوصيل لخبط الطلب من مطعم الطيب، ومحد رد على الاتصالات 😡 👍,negative,negative,0.9,XT25102995823,2025-10-29,مها,الرياض,الرياض-الملز
الأسعار مناسبة مقابل الجودة في مطعم الطيب. خصوصًا الشاورما 😍 👍,positive,positive,0.9,XT25111116028,2025-11-11,أمينة,الشارقة,أبوظبي-الكورنيش
أجواء المطعم مزدحمة قليلًا. الشاورما كان جيد بشكل عام.,neutral,neutral,0.9,XT25103067898,2025-10-30,خالد,أبوظبي,الدمام-الشاطئ
مطعم الطيب يقدم خيارات متنوعة. الأسعار متوسطة. 🤷‍♀️,neutral,neutral,0.9,XT25101916428,2025-10-19,عالية,جدة,دبي-الخور
الخدمة طبيعية والنظافة جيدة، المقبلات المشكلة يحتاج تحسين بسيط. ⭐,neutral,neutral,0.9,XT25100348680,2025-10-03,أمينة,الدوحة,دبي-الخور
طلبت المقبلات المشكلة من مطعم الطيب. التوصيل في الوقت، والطعم مقبول.,neutral,neutral,0.9,XT25103139571,2025-10-31,عبدالله,دبي,أبوظبي-الكورنيش
تطبيق التوصيل لخبط الطلب من مطعم الطيب، ومحد رد على الاتصالات 😡 ⭐,negative,negative,0.9,XT25102452992,2025-10-24,عالية,الشارقة,الرياض-الياسمين
أجواء المطعم مزدحمة قليلًا. الفِتّوشيني كان جيد بشكل عام. 🔥,neutral,neutral,0.9,XT25102846666,2025-10-28,أبو_علي,دبي,دبي-الخور
للأسف التجربة سيئة اليوم في مطعم الطيب. تأخير كبير والطلب وصل بارد 😞 🤷‍♂️,negative,negative,0.9,XT25100853713,2025-10-08,ياسر,المدينة,الرياض-الياسمين
للأسف التجربة سيئة اليوم في مطعم الطيب. تأخير كبير والطلب وصل بارد 😞,negative,negative,0.9,XT25100244782,2025-10-02,أبو_علي,دبي,الرياض-الياسمين
أجواء المطعم مزدحمة قليلًا. الفتوش كان جيد بشكل عام. 👍,neutral,neutral,0.9,XT25110229442,2025-11-02,نورة,الرياض,الرياض-الياسمين
جلسات مزعجة وصوت عالي، والحُمص مالح أكثر من اللازم في مطعم الطيب.,negative,negative,0.9,XT25102822463,2025-10-28,أمينة,الدوحة,جدة-السلامة
الأسعار مناسبة مقابل الجودة في مطعم الطيب. خصوصًا السمك المشوي 😍,positive,positive,0.9,XT25102976507,2025-10-29,شادن,جدة,الرياض-الياسمين
طلبت الكباب من مطعم الطيب. التوصيل في الوقت، والطعم مقبول. 👎,neutral,negative,0.9,XT25101122026,2025-10-11,هناء,مكة,الرياض-الياسمين
ما أنصح بـ مطعم الطيب اليوم. المقبلات المشكلة كان دون المستوى والخدمة بطيئة جدًا.,negative,negative,0.9,XT25100567939,2025-10-05,ريم,جدة,جدة-الروضة
أجواء هادئة وأكل يفتح النفس في مطعم الطيب. أنصح بـ المقبلات المشكلة 🌟 👍,positive,positive,0.9,XT25100240161,2025-10-02,هناء,مكة,الدمام-الشاطئ
مطعم الطيب يقدم خيارات متنوعة. الأسعار متوسطة. ✨,neutral,neutral,0.9,XT25100661873,2025-10-06,محمد,الرياض,دبي-الخور
النظافة تحتاج تحسين في مطعم الطيب، والطعم عادي جدًا. السمك المشوي خيب الظن.,negative,negative,0.9,XT25101030036,2025-10-10,نورة,دبي,الرياض-الياسمين
تطبيق التوصيل لخبط الطلب من مطعم الطيب، ومحد رد على الاتصالات 😡 🔥,negative,negative,0.9,XT25100547627,2025-10-05,نورة,الشارقة,دبي-الخور
مطعم الطيب يقدم خيارات متنوعة. الأسعار متوسطة.,neutral,neutral,0.9,XT25100330807,2025-10-03,خالد,جدة,جدة-الروضة
للأسف التجربة سيئة اليوم في مطعم الطيب. تأخير كبير والطلب وصل بارد 😞,negative,negative,0.9,XT25102596980,2025-10-25,مها,المدينة,جدة-الروضة
الأسعار مرتفعة مقارنة بالجودة في مطعم الطيب. السمك المشوي لا يستحق. 👎,negative,negative,0.9,XT25101079013,2025-10-10,أبو_علي,الدمام,دبي-الخور
أول زيارة لـ مطعم الطيب وكانت فوق التوقعات. الفتوش يستاهل التجربة 👌,positive,positive,0.9,XT25102167749,2025-10-21,حمد,أبوظبي,أبوظبي-الكورنيش
مطعم الطيب يقدم خيارات متنوعة. الأسعار متوسطة. 😐,neutral,neutral,0.9,XT25100661964,2025-10-06,هناء,الدمام,جدة-الروضة
تجربة رائعة في مطعم الطيب! المقبلات المشكلة كان لذيذ جدًا والخدمة سريعة 🤩 😞,positive,positive,0.9,XT25101038266,2025-10-10,مها,المدينة,الدمام-الشاطئ
تجربة رائعة في مطعم الطيب! الفِتّوشيني كان لذيذ جدًا والخدمة سريعة 🤩,positive,positive,0.9,XT25101778951,2025-10-17,صقر,الدمام,الدمام-الشاطئ
تجربة رائعة في مطعم الطيب! المقبلات المشكلة كان لذيذ جدًا والخدمة سريعة 🤩 ✨,positive,positive,0.9,XT25101369988,2025-10-13,أبو_علي,الدوحة,جدة-الروضة
للأسف التجربة سيئة اليوم في مطعم الطيب. تأخير كبير والطلب وصل بارد 😞,negative,negative,0.9,XT25102875211,2025-10-28,خالد,الشارقة,أبوظبي-الكورنيش
ما أنصح بـ مطعم الطيب اليوم. الفِتّوشيني كان دون المستوى والخدمة بطيئة جدًا.,negative,negative,0.9,XT25102317518,2025-10-23,نورة,تبوك,دبي-الخور
خدمة راقية وابتسامة من الموظفين في مطعم الطيب. الكبسة كان ممتاز 👍 😞,positive,positive,0.9,XT25102462171,2025-10-24,أمينة,أبها,دبي-الخور
ما أنصح بـ مطعم الطيب اليوم. المندي كان دون المستوى والخدمة بطيئة جدًا.,negative,negative,0.9,XT25102951889,2025-10-29,خالد,تبوك,دبي-الخور
خدمة راقية وابتسامة من الموظفين في مطعم الطيب. الفتوش كان ممتاز 👍 👍,positive,positive,0.9,XT25100563665,2025-10-05,نادر,أبوظبي,الرياض-الملز
الخدمة طبيعية والنظافة جيدة، السمك المشوي يحتاج تحسين بسيط. 🔥,neutral,neutral,0.9,XT25101922245,2025-10-19,هناء,الدمام,دبي-الخور
الأسعار مناسبة مقابل الجودة في مطعم الطيب. خصوصًا الكبسة 😍,positive,positive,0.9,XT25101892203,2025-10-18,صقر,الرياض,جدة-الروضة
طلبت المقبلات المشكلة من مطعم الطيب. التوصيل في الوقت، والطعم مقبول.,neutral,neutral,0.9,XT25102223917,2025-10-22,أمينة,المدينة,الرياض-الياسمين
ما أنصح بـ مطعم الطيب اليوم. الشاورما كان دون المستوى والخدمة بطيئة جدًا.,negative,negative,0.9,XT25110750441,2025-11-07,أنس,أبوظبي,الرياض-الملز
الأسعار مرتفعة مقارنة بالجودة في مطعم الطيب. السمك المشوي لا يستحق. 😐,negative,negative,0.9,XT25100560639,2025-10-05,هناء,مكة,جدة-السلامة
أجواء المطعم مزدحمة قليلًا. السمك المشوي كان جيد بشكل عام.,neutral,neutral,0.9,XT25101161505,2025-10-11,عالية,الدمام,دبي-الخور
الأسعار مرتفعة مقارنة بالجودة في مطعم الطيب. المندي لا يستحق.,negative,negative,0.9,XT25111032349,2025-11-10,هناء,المدينة,دبي-الخور
خدمة راقية وابتسامة من الموظفين في مطعم الطيب. الفِتّوشيني كان ممتاز 👍,positive,positive,0.9,XT25110152604,2025-11-01,أنس,الدوحة,الدمام-الشاطئ
الخدمة طبيعية والنظافة جيدة، الشاورما يحتاج تحسين بسيط.,neutral,neutral,0.9,XT25102298686,2025-10-22,صقر,مكة,جدة-السلامة
أول زيارة لـ مطعم الطيب وكانت فوق التوقعات. الفتوش يستاهل التجربة 👌 🔥,positive,positive,0.9,XT25101941779,2025-10-19,أبو_علي,الشارقة,دبي-الخور
أجواء هادئة وأكل يفتح النفس في مطعم الطيب. أنصح بـ الكباب 🌟 😋,positive,positive,0.9,XT25100733040,2025-10-07,أبو_علي,الشارقة,أبوظبي-الكورنيش
تجربة رائعة في مطعم الطيب! الشاورما كان لذيذ جدًا والخدمة سريعة 🤩 😞,positive,positive,0.9,XT25101833002,2025-10-18,عالية,تبوك,أبوظبي-الكورنيش
طلبت الكباب من مطعم الطيب. التوصيل في الوقت، والطعم مقبول. 💯,neutral,neutral,0.9,XT25100130934,2025-10-01,عبدالله,الخبر,دبي-الخور
طلبت المنسف من مطعم الطيب. التوصيل في الوقت، والطعم مقبول. 🔥,neutral,neutral,0.9,XT25110179228,2025-11-01,خالد,الدمام,الرياض-الملز
خدمة راقية وابتسامة من الموظفين في مطعم الطيب. السمك المشوي كان ممتاز 👍 ⭐,positive,positive,0.9,XT25101517292,2025-10-15,حمد,الدمام,الرياض-الياسمين
مطعم الطيب يقدم خيارات متنوعة. الأسعار متوسطة.,neutral,neutral,0.9,XT25100694656,2025-10-06,ريم,أبها,جدة-الروضة
ما أنصح بـ مطعم الطيب اليوم. المندي كان دون المستوى والخدمة بطيئة جدًا.,negative,negative,0.9,XT25102770686,2025-10-27,صقر,الشارقة,جدة-السلامة
أجواء المطعم مزدحمة قليلًا. الكبسة كان جيد بشكل عام.,neutral,neutral,0.9,XT25100438477,2025-10-04,أبو_علي,جدة,الرياض-الياسمين
الخدمة طبيعية والنظافة جيدة، المقبلات المشكلة يحتاج تحسين بسيط.,neutral,neutral,0.9,XT25102755143,2025-10-27,عبدالله,الخبر,أبوظبي-الكورنيش
الخدمة طبيعية والنظافة جيدة، الكباب يحتاج تحسين بسيط. 😞,neutral,neutral,0.9,XT25100536651,2025-10-05,أمينة,الخبر,دبي-الخور
زرت مطعم الطيب اليوم. المنسف عادي والخدمة مقبولة.,neutral,neutral,0.9,XT25101453642,2025-10-14,محمد,الشارقة,الرياض-الملز
الأسعار مرتفعة مقارنة بالجودة في مطعم الطيب. الشاورما لا يستحق.,negative,negative,0.9,XT25110557088,2025-11-05,محمد,أبوظبي,جدة-الروضة
تطبيق التوصيل لخبط الطلب من مطعم الطيب، ومحد رد على الاتصالات 😡,negative,negative,0.9,XT25101982173,2025-10-19,أمينة,مكة,جدة-الروضة
زرت مطعم الطيب اليوم. الشاورما عادي والخدمة مقبولة.,neutral,neutral,0.9,XT25100190808,2025-10-01,أنس,الدمام,دبي-الخور
تجربة رائعة في مطعم الطيب! الكباب كان لذيذ جدًا والخدمة سريعة 🤩,positive,positive,0.9,XT25102835156,2025-10-28,عالية,مكة,الدمام-الشاطئ
الأسعار مرتفعة مقارنة بالجودة في مطعم الطيب. الحُمص لا يستحق. 😋,negative,negative,0.9,XT25101140115,2025-10-11,شادن,أبها,أبوظبي-الكورنيش
تجربة متوسطة في مطعم الطيب. لا سيئ ولا ممتاز.,neutral,neutral,0.9,XT25110620279,2025-11-06,هناء,أبها,دبي-الخور
زرت مطعم الطيب اليوم. السمك المشوي عادي والخدمة مقبولة.,neutral,neutral,0.9,XT25103086791,2025-10-30,عبدالله,أبوظبي,الرياض-الملز
النظافة تحتاج تحسين في مطعم الطيب، والطعم عادي جدًا. الفِتّوشيني خيب الظن. 👍,negative,negative,0.9,XT25100134561,2025-10-01,ريم,الدمام,جدة-السلامة
خدمة راقية وابتسامة من الموظفين في مطعم الطيب. الشاورما كان ممتاز 👍,positive,positive,0.9,XT25102518292,2025-10-25,تركي,الدوحة,جدة-السلامة
الأسعار مرتفعة مقارنة بالجودة في مطعم الطيب. المنسف لا يستحق.,negative,negative,0.9,XT25102236326,2025-10-22,أنس,أبها,جدة-الروضة
خدمة راقية وابتسامة من الموظفين في مطعم الطيب. المنسف كان ممتاز 👍 🔥,positive,positive,0.9,XT25100319064,2025-10-03,ريم,أبوظبي,دبي-الخور
تطبيق التوصيل لخبط الطلب من مطعم الطيب، ومحد رد على الاتصالات 😡,negative,negative,0.9,XT25100694545,2025-10-06,عبدالله,الرياض,أبوظبي-الكورنيش
النظافة تحتاج تحسين في مطعم الطيب، والطعم عادي جدًا. المندي خيب الظن. 👍,negative,negative,0.9,XT25100937114,2025-10-09,هناء,الرياض,جدة-السلامة
خدمة راقية وابتسامة من الموظفين في مطعم الطيب. المقبلات المشكلة كان ممتاز 👍 🔥,positive,positive,0.9,XT25102896154,2025-10-28,ريم,الخبر,جدة-السلامة
الخدمة طبيعية والنظافة جيدة، الكباب يحتاج تحسين بسيط.,neutral,neutral,0.9,XT25110470012,2025-11-04,عالية,تبوك,الرياض-الياسمين
الأسعار مناسبة مقابل الجودة في مطعم الطيب. خصوصًا السمك المشوي 😍 😐,positive,positive,0.9,XT25102893296,2025-10-28,صقر,جدة,دبي-الخور
أجواء المطعم مزدحمة قليلًا. الفتوش كان جيد بشكل عام.,neutral,neutral,0.9,XT25102814044,2025-10-28,ياسر,دبي,جدة-الروضة
خدمة راقية وابتسامة من الموظفين في مطعم الطيب. المندي كان ممتاز 👍 🔥,positive,positive,0.9,XT25102565725,2025-10-25,Bassam_A,دبي,دبي-الخور
ما أنصح بـ مطعم الطيب اليوم. الفِتّوشيني كان دون المستوى والخدمة بطيئة جدًا.,negative,negative,0.9,XT25101480617,2025-10-14,تركي,أبوظبي,جدة-الروضة
جلسات مزعجة وصوت عالي، والمقبلات المشكلة مالح أكثر من اللازم في مطعم الطيب. 🤷‍♂️,negative,negative,0.9,XT25102719898,2025-10-27,نورة,الدمام,جدة-السلامة
النظافة تحتاج تحسين في مطعم الطيب، والطعم عادي جدًا. الكباب خيب الظن.,negative,negative,0.9,XT25102316021,2025-10-23,Bassam_A,الخبر,دبي-الخور
أجواء هادئة وأكل يفتح النفس في مطعم الطيب. أنصح بـ المندي 🌟,positive,positive,0.9,XT25101121953,2025-10-11,Bassam_A,المدينة,الرياض-الملز
الخدمة طبيعية والنظافة جيدة، المندي يحتاج تحسين بسيط.,neutral,neutral,0.9,XT25100727451,2025-10-07,مها,الخبر,الرياض-الملز
الأسعار مناسبة مقابل الجودة في مطعم الطيب. خصوصًا المنسف 😍 🤷‍♂️,positive,positive,0.9,XT25100666280,2025-10-06,أمينة,الدمام,أبوظبي-الكورنيش
الأسعار مرتفعة مقارنة بالجودة في مطعم الطيب. الشاورما لا يستحق. 🤷‍♂️,negative,negative,0.9,XT25110284498,2025-11-02,ريم,الشارقة,جدة-الروضة
الأسعار مناسبة مقابل الجودة في مطعم الطيب. خصوصًا المندي 😍,positive,positive,0.9,XT25110936633,2025-11-09,مها,الدوحة,الدمام-الشاطئ
الخدمة طبيعية والنظافة جيدة، الكباب يحتاج تحسين بسيط.,neutral,neutral,0.9,XT25101255443,2025-10-12,هناء,أبوظبي,الدمام-الشاطئ
أجواء هادئة وأكل يفتح النفس في مطعم الطيب. أنصح بـ الفِتّوشيني 🌟,positive,positive,0.9,XT25101857202,2025-10-18,أبو_علي,الرياض,جدة-السلامة
أول زيارة لـ مطعم الطيب وكانت فوق التوقعات. الفِتّوشيني يستاهل التجربة 👌 😋,positive,positive,0.9,XT25110664559,2025-11-06,أمينة,تبوك,جدة-الروضة
أجواء هادئة وأكل يفتح النفس في مطعم الطيب. أنصح بـ الكبسة 🌟 💯,positive,positive,0.9,XT25102135614,2025-10-21,صقر,دبي,أبوظبي-الكورنيش
مطعم الطيب تفوّق اليوم! الطعم ممتاز والنظافة واضحة. الفِتّوشيني 🔥,positive,positive,0.9,XT25101158823,2025-10-11,حمد,دبي,دبي-الخور
مطعم الطيب تفوّق اليوم! الطعم ممتاز والنظافة واضحة. السمك المشوي 🔥 👍,positive,positive,0.9,XT25101368925,2025-10-13,حمد,الدوحة,جدة-الروضة
طلبت الشاورما من مطعم الطيب. التوصيل في الوقت، والطعم مقبول. 😋,neutral,neutral,0.9,XT25102082105,2025-10-20,ياسر,الدمام,الرياض-الملز
الخدمة طبيعية والنظافة جيدة، السمك المشوي يحتاج تحسين بسيط.,neutral,neutral,0.9,XT25100794670,2025-10-07,حمد,الخبر,أبوظبي-الكورنيش
مطعم الطيب تفوّق اليوم! الطعم ممتاز والنظافة واضحة. الفِتّوشيني 🔥 ⭐,positive,positive,0.9,XT25102829481,2025-10-28,أبو_علي,أبها,الدمام-الشاطئ
تجربة رائعة في مطعم الطيب! الحُمص كان لذيذ جدًا والخدمة سريعة 🤩,positive,positive,0.9,XT25102460905,2025-10-24,لولوة,دبي,الرياض-الياسمين
تجربة متوسطة في مطعم الطيب. لا سيئ ولا ممتاز.,neutral,neutral,0.9,XT25102557026,2025-10-25,نادر,دبي,الرياض-الملز
تجربة رائعة في مطعم الطيب! الفتوش كان لذيذ جدًا والخدمة سريعة 🤩 🤷‍♂️,positive,positive,0.9,XT25110890495,2025-11-08,شادن,مكة,أبوظبي-الكورنيش
النظافة تحتاج تحسين في مطعم الطيب، والطعم عادي جدًا. الكباب خيب الظن. 👎,negative,negative,0.9,XT25102990440,2025-10-29,خالد,جدة,الرياض-الياسمين
ما أنصح بـ مطعم الطيب اليوم. المندي كان دون المستوى والخدمة بطيئة جدًا. ✨,negative,negative,0.9,XT25101237483,2025-10-12,ياسر,الدمام,دبي-الخور
خدمة راقية وابتسامة من الموظفين في مطعم الطيب. الفتوش كان ممتاز 👍,positive,positive,0.9,XT25101544226,2025-10-15,Bassam_A,أبها,الرياض-الملز
تجربة متوسطة في مطعم الطيب. لا سيئ ولا ممتاز.,neutral,neutral,0.9,XT25102822571,2025-10-28,أبو_علي,الرياض,جدة-السلامة
للأسف التجربة سيئة اليوم في مطعم الطيب. تأخير كبير والطلب وصل بارد 😞 👎,negative,negative,0.9,XT25111096643,2025-11-10,لولوة,أبوظبي,الرياض-الملز
تجربة رائعة في مطعم الطيب! المندي كان لذيذ جدًا والخدمة سريعة 🤩,positive,positive,0.9,XT25110460738,2025-11-04,هناء,الدوحة,جدة-السلامة
الأسعار مرتفعة مقارنة بالجودة في مطعم الطيب. الكبسة لا يستحق. ⭐,negative,negative,0.9,XT25102818783,2025-10-28,نورة,الخبر,جدة-السلامة
مطعم الطيب يقدم خيارات متنوعة. الأسعار متوسطة.,neutral,neutral,0.9,XT25102746099,2025-10-27,عبدالله,أبوظبي,الرياض-الياسمين
النظافة تحتاج تحسين في مطعم الطيب، والطعم عادي جدًا. السمك المشوي خيب الظن. 😞,negative,negative,0.9,XT25100764627,2025-10-07,عالية,المدينة,دبي-الخور
تجربة متوسطة في مطعم الطيب. لا سيئ ولا ممتاز. 🤷‍♂️,neutral,neutral,0.9,XT25100470846,2025-10-04,هناء,دبي,جدة-السلامة
النظافة تحتاج تحسين في مطعم الطيب، والطعم عادي جدًا. السمك المشوي خيب الظن. 🤷‍♀️,negative,negative,0.9,XT25100638091,2025-10-06,ياسر,أبوظبي,دبي-الخور
أجواء المطعم مزدحمة قليلًا. الكباب كان جيد بشكل عام.,neutral,neutral,0.9,XT25102362055,2025-10-23,نادر,أبوظبي,الرياض-الملز
الخدمة طبيعية والنظافة جيدة، الكباب يحتاج تحسين بسيط. 🤷‍♀️,neutral,neutral,0.9,XT25101841496,2025-10-18,أبو_علي,جدة,أبوظبي-الكورنيش
جلسات مزعجة وصوت عالي، والفِتّوشيني مالح أكثر من اللازم في مطعم الطيب. 💯,negative,negative,0.9,XT25101398063,2025-10-13,خالد,أبها,الدمام-الشاطئ
النظافة تحتاج تحسين في مطعم الطيب، والطعم عادي جدًا. السمك المشوي خيب الظن. 🤷‍♀️,negative,negative,0.9,XT25103099220,2025-10-30,عبدالله,مكة,الدمام-الشاطئ
الأسعار مناسبة مقابل الجودة في مطعم الطيب. خصوصًا السمك المشوي 😍 😞,positive,neutral,0.9,XT25101821539,2025-10-18,مها,الشارقة,الدمام-الشاطئ
الأسعار مناسبة مقابل الجودة في مطعم الطيب. خصوصًا الشاورما 😍,positive,positive,0.9,XT25102015992,2025-10-20,محمد,الدوحة,جدة-الروضة
خدمة راقية وابتسامة من الموظفين في مطعم الطيب. الكبسة كان ممتاز 👍,positive,positive,0.9,XT25100880088,2025-10-08,عالية,الدمام,الرياض-الملز
طلبت الكبسة من مطعم الطيب. التوصيل في الوقت، والطعم مقبول. 👍,neutral,neutral,0.9,XT25110390962,2025-11-03,Bassam_A,الدمام,جدة-الروضة
أجواء هادئة وأكل يفتح النفس في مطعم الطيب. أنصح بـ الفِتّوشيني 🌟 🔥,positive,positive,0.9,XT25110111671,2025-11-01,نورة,المدينة,الرياض-الملز
طلبت الكباب من مطعم الطيب. التوصيل في الوقت، والطعم مقبول.,neutral,neutral,0.9,XT25102128139,2025-10-21,تركي,الدمام,جدة-الروضة
مطعم الطيب تفوّق اليوم! الطعم ممتاز والنظافة واضحة. الكباب 🔥,positive,positive,0.9,XT25103117686,2025-10-31,تركي,أبها,الرياض-الملز
الأسعار مناسبة مقابل الجودة في مطعم الطيب. خصوصًا الكباب 😍 ⭐,positive,positive,0.9,XT25110491033,2025-11-04,Bassam_A,الرياض,جدة-السلامة
النظافة تحتاج تحسين في مطعم الطيب، والطعم عادي جدًا. الشاورما خيب الظن.,negative,negative,0.9,XT25100568220,2025-10-05,نادر,تبوك,جدة-السلامة
تطبيق التوصيل لخبط الطلب من مطعم الطيب، ومحد رد على الاتصالات 😡,negative,negative,0.9,XT25103091232,2025-10-30,عالية,أبوظبي,جدة-السلامة
للأسف التجربة سيئة اليوم في مطعم الطيب. تأخير كبير والطلب وصل بارد 😞 🤷‍♂️,negative,negative,0.9,XT25101354293,2025-10-13,Bassam_A,تبوك,أبوظبي-الكورنيش
أول زيارة لـ مطعم الطيب وكانت فوق التوقعات. المنسف يستاهل التجربة 👌,positive,positive,0.9,XT25100989822,2025-10-09,ياسر,الدمام,جدة-الروضة
الأسعار مناسبة مقابل الجودة في مطعم الطيب. خصوصًا المقبلات المشكلة 😍,positive,positive,0.9,XT25101386389,2025-10-13,نادر,المدينة,دبي-الخور
